customer_id;date_diff_post;buy_post
13220760;1;1
30315975;0;0
21679985;1;1
29754274;1;1
7797823;1;1
9904853;0;0
41160419;1;1
2991868;1;1
19659538;1;1
21615224;1;1
27497867;0;0
5955772;1;1
29871260;1;1
29741207;1;1
27847288;0;0
23464407;1;1
9576556;1;1
24650386;1;1
41221137;0;0
21363557;0;0
11990628;1;1
38970087;1;1
19170602;0;0
32818596;1;1
8437184;1;1
37903994;0;0
27266728;0;0
28608247;1;1
12099042;0;0
8693106;1;1
1880985;1;1
13089445;1;1
466082;1;1
6150810;1;1
11480891;1;1
22407092;1;1
1264888;1;1
24678178;1;1
34367359;1;1
32704906;0;0
11613352;0;0
24633208;0;0
23723026;1;1
22410771;0;0
9558022;1;1
28096216;0;0
20826728;1;1
20989427;1;1
13179603;0;0
7540069;0;0
510436;1;1
8803721;1;1
28914459;1;1
484139;1;1
22069710;1;1
818062;1;1
34630401;1;1
12085314;1;1
29364620;0;0
10779160;1;1
2047559;1;1
19312998;0;0
7816110;1;1
10938922;1;1
26149208;1;1
28734260;1;1
26284071;1;1
9687583;1;1
24625879;0;0
10186290;0;0
40591453;1;1
2158339;1;1
35390202;1;1
37615329;0;0
276399;1;1
18628701;0;0
9546941;0;0
39447964;0;0
4752407;1;1
40124051;0;0
27578370;1;1
23473852;1;1
7653802;1;1
18025071;1;1
21587625;0;0
18191387;0;0
18731141;1;1
45902775;0;0
9968176;0;0
44759591;1;1
14870518;1;1
22218444;1;1
22877892;1;1
41271589;1;1
30237269;1;1
3296941;1;1
22191359;1;1
21436114;1;1
8369200;1;1
13191993;1;1
32020557;1;1
10081299;1;1
31782747;0;0
1899216;0;0
18199121;1;1
8217938;1;1
25381058;1;1
11241729;1;1
36972442;1;1
27155443;0;0
18356287;1;1
27260221;1;1
1018052;1;1
21439175;1;1
23861509;0;0
5208623;1;1
11557183;1;1
23464595;0;0
23389199;1;1
12091095;1;1
9936375;1;1
11396124;1;1
6732343;0;0
33796513;1;1
37085803;1;1
12421228;1;1
12446247;1;1
5776186;0;0
21195910;1;1
22352724;1;1
22946810;1;1
12742891;1;1
11786731;1;1
31315517;0;0
26036638;1;1
433348;1;1
6547559;1;1
9574494;1;1
4931867;1;1
29847741;0;0
19284017;1;1
19057145;1;1
30266123;0;0
30883662;1;1
23490236;1;1
8526781;0;0
46085953;0;0
22896921;1;1
41130019;1;1
27633256;0;0
30015459;1;1
8655710;0;0
21333153;1;1
21356384;1;1
29788722;1;1
25847467;1;1
27119097;1;1
33770855;0;0
8185983;1;1
24783815;0;0
22142892;0;0
471363;1;1
23875545;1;1
28412787;0;0
30898763;0;0
22199792;1;1
